"district","city","province","postal_code"
"BANDAR BARU","PIDIE JAYA","ACEH","24184"
"TEUPAH TENGAH","SIMEULUE","ACEH","23891"
"JULI","BIREUEN","ACEH","24251"
"MADAT","ACEH TIMUR","ACEH","24458"
"JANGKA","BIREUEN","ACEH","24261"
"LHOKSUKON","ACEH UTARA","ACEH","24382"
"SAWANG","ACEH UTARA","ACEH","24377"
"JEUMPA","BIREUEN","ACEH","24251"
"PIDIE","PIDIE","ACEH","24151"
"BANDAR DUA","PIDIE JAYA","ACEH","24188"
"TANGAN-TANGAN","ACEH BARAT DAYA","ACEH","23763"
"PADANG TIJI","PIDIE","ACEH","24161"
"BIREM BAYEUN","ACEH TIMUR","ACEH","24452"
"BLANG KEJEREN","GAYO LUES","ACEH","24655"
"PANTAN CUACA","GAYO LUES","ACEH","24654"
"TAPAK TUAN","ACEH SELATAN","ACEH","23711"
"SIMEULEU TIMUR","SIMEULUE","ACEH","23891"
"SERUWAY","ACEH TAMIANG","ACEH","24473"
"SAMA DUA","ACEH SELATAN","ACEH","23752"
"INGIN JAYA","ACEH BESAR","ACEH","23371"
"PEUKAN BADA","ACEH BESAR","ACEH","23351"
"BLANG PEGAYON","GAYO LUES","ACEH","24653"
"LEUSER","ACEH TENGGARA","ACEH","24673"
"BLANG JERANGO","GAYO LUES","ACEH","24655"
"KLUET TIMUR","ACEH SELATAN","ACEH","23772"
"GAJAH PUTIH","BENER MERIAH","ACEH","24553"
"BABUSSALAM","ACEH TENGGARA","ACEH","24651"
"BABUL RAHMAH","ACEH TENGGARA","ACEH","24673"
"SYAMTALIRA BAYU","ACEH UTARA","ACEH","24373"
"SALANG","SIMEULUE","ACEH","23893"
"TANAH PASIR","ACEH UTARA","ACEH","24391"
"KEUDE PANGA","ACEH JAYA","ACEH","23653"
"MUTIARA TIMUR","PIDIE","ACEH","24173"
"TEUNOM","ACEH JAYA","ACEH","23653"
"BAKTIYA","ACEH UTARA","ACEH","24392"
"GEUREDONG PASE","ACEH UTARA","ACEH","24373"
"MUARA DUA","LHOKSEUMAWE","ACEH","24352"
"SIMPANG KRAMAT (KERAMAT)","ACEH UTARA","ACEH","24313"
"ARONGAN LAMBALEK","ACEH BARAT","ACEH","23652"
"BUBON","ACEH BARAT","ACEH","23652"
"SAMALANGA","BIREUEN","ACEH","24264"
"MEUKEK","ACEH SELATAN","ACEH","23754"
"SEUNUDDON (SEUNUDON)","ACEH UTARA","ACEH","24393"
"TADU RAYA","NAGAN RAYA","ACEH","23661"
"PEUDAWA","ACEH TIMUR","ACEH","24454"
"RANTO PEUREULAK","ACEH TIMUR","ACEH","24453"
"DARUL MAKMUR","NAGAN RAYA","ACEH","23662"
"LANGSA KOTA","LANGSA","ACEH","24410"
"PAYA BAKONG","ACEH UTARA","ACEH","24386"
"NISAM","ACEH UTARA","ACEH","24376"
"WOYLA TIMUR","ACEH BARAT","ACEH","23682"
"WOYLA","ACEH BARAT","ACEH","23654"
"PEUREULAK TIMUR","ACEH TIMUR","ACEH","24453"
"PEUREULAK BARAT","ACEH TIMUR","ACEH","24453"
"SIMPANG ULIM","ACEH TIMUR","ACEH","24458"
"SEUNAGAN","NAGAN RAYA","ACEH","23671"
"NIBONG","ACEH UTARA","ACEH","24385"
"PIRAK TIMUR","ACEH UTARA","ACEH","24386"
"TANGSE","PIDIE","ACEH","24166"
"BENDAHARA","ACEH TAMIANG","ACEH","24472"
"JULOK","ACEH TIMUR","ACEH","24457"
"DARUL AMAN","ACEH TIMUR","ACEH","24455"
"SETIA","ACEH BARAT DAYA","ACEH","23763"
"MEURAXA","BANDA ACEH","ACEH","23232"
"COT GIREK","ACEH UTARA","ACEH","24352"
"LANGSA BARO","LANGSA","ACEH","24415"
"IDI RAYEUK","ACEH TIMUR","ACEH","24454"
"PEUREULAK","ACEH TIMUR","ACEH","24453"
"LANGKAHAN","ACEH UTARA","ACEH","24394"
"MAKMUR","BIREUEN","ACEH","24357"
"MATANGKULI","ACEH UTARA","ACEH","24386"
"DARUL HIKMAH","ACEH JAYA","ACEH","23656"
"SUKA MAKMUE","NAGAN RAYA","ACEH","23671"
"TANAH LUAS","ACEH UTARA","ACEH","24385"
"PEUDADA","BIREUEN","ACEH","24262"
"SEULIMEUM","ACEH BESAR","ACEH","23951"
"PEUSANGAN","BIREUEN","ACEH","24261"
"PEUSANGAN SIBLAH KRUENG","BIREUEN","ACEH","24261"
"SAMPOINIET","ACEH JAYA","ACEH","23656"
"SYAMTALIRA ARON","ACEH UTARA","ACEH","24381"
"INDRA MAKMUR","ACEH TIMUR","ACEH","24457"
"KUALA","NAGAN RAYA","ACEH","23661"
"PANTE BIDARI (BEUDARI)","ACEH TIMUR","ACEH","24458"
"TANAH JAMBO AYE","ACEH UTARA","ACEH","24394"
"MANYAK PAYED","ACEH TAMIANG","ACEH","24471"
"PANDRAH","BIREUEN","ACEH","24263"
"SUNGAI RAYA","ACEH TIMUR","ACEH","24458"
"PASIE RAYA","ACEH JAYA","ACEH","23653"
"DARUL IKSAN (IHSAN)","ACEH TIMUR","ACEH","24455"
"BABAH ROT","ACEH BARAT DAYA","ACEH","23767"
"RANTAU SELAMAT","ACEH TIMUR","ACEH","24452"
"PANTE CEUREUMEN (PANTAI CEUREMEN)","ACEH BARAT","ACEH","23681"
"ULIM","PIDIE JAYA","ACEH","24187"
"WOYLA BARAT","ACEH BARAT","ACEH","23682"
"BANDA BARO","ACEH UTARA","ACEH","24376"
"IDI TUNONG","ACEH TIMUR","ACEH","24454"
"BATEE","PIDIE","ACEH","24152"
"JEUNIEB","BIREUEN","ACEH","24263"
"SIMPANG MAMPLAM","BIREUEN","ACEH","24251"
"KAWAY XVI","ACEH BARAT","ACEH","23681"
"BLANG MANGAT","LHOKSEUMAWE","ACEH","24375"
"BLANG PIDIE","ACEH BARAT DAYA","ACEH","23764"
"GANDA PURA","BIREUEN","ACEH","24356"
"LANGSA TIMUR","LANGSA","ACEH","24411"
"INDRA JAYA","ACEH JAYA","ACEH","23657"
"SYIAH KUALA","BANDA ACEH","ACEH","23116"
"KUALA BATEE","ACEH BARAT DAYA","ACEH","23766"
"KUTA MAKMUR","ACEH UTARA","ACEH","24371"
"JEUMPA","ACEH BARAT DAYA","ACEH","23764"
"MANGGENG","ACEH BARAT DAYA","ACEH","23762"
"PULO ACEH","ACEH BESAR","ACEH","23391"
"SAMATIGA","ACEH BARAT","ACEH","23652"
"JAYA","ACEH JAYA","ACEH","23657"
"NURUSSALAM","ACEH TIMUR","ACEH","24456"
"DARUL FALAH","ACEH TIMUR","ACEH","24454"
"KRUENG SABEE","ACEH JAYA","ACEH","23654"
"MANTASIEK (MONTASIK)","ACEH BESAR","ACEH","23362"
"TITEUE","PIDIE","ACEH","24165"
"TANAH ALAS","ACEH TENGGARA","ACEH","24661"
"KARANG BARU","ACEH TAMIANG","ACEH","24476"
"TRUMON TIMUR","ACEH SELATAN","ACEH","23774"
"BUKIT TUSAM","ACEH TENGGARA","ACEH","24671"
"RANTAU","ACEH TAMIANG","ACEH","24474"
"KOTA BAHAGIA","ACEH SELATAN","ACEH","23773"
"BANDAR PUSAKA","ACEH TAMIANG","ACEH","24478"
"KLUET TENGAH","ACEH SELATAN","ACEH","23772"
"SURO MAKMUR","ACEH SINGKIL","ACEH","24784"
"KLUET UTARA","ACEH SELATAN","ACEH","23771"
"BANDA MULIA","ACEH TAMIANG","ACEH","24472"
"KEJURUAN MUDA","ACEH TAMIANG","ACEH","24477"
"TAMIANG HULU","ACEH TAMIANG","ACEH","24478"
"TEUPAH SELATAN","SIMEULUE","ACEH","23891"
"SIMEULEU BARAT","SIMEULUE","ACEH","23892"
"SIMEULUE CUT","SIMEULUE","ACEH","23894"
"MESIDAH","BENER MERIAH","ACEH","24582"
"RIKIT GAIB","GAYO LUES","ACEH","24654"
"BAMBEL","ACEH TENGGARA","ACEH","24671"
"GLUMPANG TIGA (GEULUMPANG TIGA)","PIDIE","ACEH","24183"
"SUKA MAKMUR","ACEH BESAR","ACEH","23361"
"INDRAPURI","ACEH BESAR","ACEH","23363"
"SUKAKARYA","SABANG","ACEH","23514"
"DARUSSALAM","ACEH BESAR","ACEH","23373"
"TEUPAH BARAT","SIMEULUE","ACEH","23892"
"SUKAJAYA","SABANG","ACEH","23524"
"LINGE","ACEH TENGAH","ACEH","24563"
"PANTON REU","ACEH BARAT","ACEH","23681"
"LABUHAN HAJI","ACEH SELATAN","ACEH","23761"
"MILA","PIDIE","ACEH","24163"
"KEMBANG TANJONG (TANJUNG)","PIDIE","ACEH","24182"
"KUTA BARO","ACEH BESAR","ACEH","23372"
"KUALA PESISIR","NAGAN RAYA","ACEH","23661"
"PEGASING","ACEH TENGAH","ACEH","24561"
"PINTU RIME GAYO","BENER MERIAH","ACEH","24553"
