id,location_code,province,district,sub_district,postal_code,province_en,district_en,sub_district_en
3,103800003,กรุงเทพมหานคร,เขตพระนคร,แขวงพระบรมมหาราชวัง,10200,Bangkok,Phra Nakhon,Phra Borom Maha Ratchawang
4,103800004,กรุงเทพมหานคร,เขตพระนคร,แขวงวังบูรพาภิรมย์,10200,Bangkok,Phra Nakhon,Wang Burapha Phirom
5,103800005,กรุงเทพมหานคร,เขตพระนคร,แขวงวัดราชบพิธ,10200,Bangkok,Phra Nakhon,Wat Ratchabophit
6,103800006,กรุงเทพมหานคร,เขตพระนคร,แขวงสำราญราษฎร์,10200,Bangkok,Phra Nakhon,Samran Rat
7,103800007,กรุงเทพมหานคร,เขตพระนคร,แขวงศาลเจ้าพ่อเสือ,10200,Bangkok,Phra Nakhon,San Chao Pho Suea
8,103800008,กรุงเทพมหานคร,เขตพระนคร,แขวงเสาชิงช้า,10200,Bangkok,Phra Nakhon,Sao Chingcha
9,103800009,กรุงเทพมหานคร,เขตพระนคร,แขวงบวรนิเวศ,10200,Bangkok,Phra Nakhon,Bowon Niwet
10,103800010,กรุงเทพมหานคร,เขตพระนคร,แขวงตลาดยอด,10200,Bangkok,Phra Nakhon,Talat Yot
11,103800011,กรุงเทพมหานคร,เขตพระนคร,แขวงชนะสงคราม,10200,Bangkok,Phra Nakhon,Chana Songkhram
12,103800012,กรุงเทพมหานคร,เขตพระนคร,แขวงบ้านพานถม,10200,Bangkok,Phra Nakhon,Ban Phan Thom
13,103800013,กรุงเทพมหานคร,เขตพระนคร,แขวงบางขุนพรหม,10200,Bangkok,Phra Nakhon,Bang Khun Phrom
14,103800014,กรุงเทพมหานคร,เขตพระนคร,แขวงวัดสามพระยา,10200,Bangkok,Phra Nakhon,Wat Sam Phraya
16,103800016,กรุงเทพมหานคร,เขตดุสิต,แขวงดุสิต,10300,Bangkok,Dusit,Dusit
17,103800017,กรุงเทพมหานคร,เขตดุสิต,แขวงวชิรพยาบาล,10300,Bangkok,Dusit,Wachiraphayaban
18,103800018,กรุงเทพมหานคร,เขตดุสิต,แขวงสวนจิตรลดา,10300,Bangkok,Dusit,Suan Chit Lada
19,103800019,กรุงเทพมหานคร,เขตดุสิต,แขวงสี่แยกมหานาค,10300,Bangkok,Dusit,Si Yaek Maha Nak
20,103800020,กรุงเทพมหานคร,เขตดุสิต,แขวงถนนนครไชยศรี,10300,Bangkok,Dusit,Thanon Nakhon Chai Si
22,103800022,กรุงเทพมหานคร,เขตหนองจอก,แขวงกระทุ่มราย,10530,Bangkok, Nong Chok,Krathum Rai
23,103800023,กรุงเทพมหานคร,เขตหนองจอก,แขวงหนองจอก,10530,Bangkok, Nong Chok,Nong Chok
24,103800024,กรุงเทพมหานคร,เขตหนองจอก,แขวงคลองสิบ,10530,Bangkok, Nong Chok,Khlong Sip
25,103800025,กรุงเทพมหานคร,เขตหนองจอก,แขวงคลองสิบสอง,10530,Bangkok, Nong Chok,Khlong Sip Song
26,103800026,กรุงเทพมหานคร,เขตหนองจอก,แขวงโคกแฝด,10530,Bangkok, Nong Chok,Khok Faet
27,103800027,กรุงเทพมหานคร,เขตหนองจอก,แขวงคู้ฝั่งเหนือ,10530,Bangkok, Nong Chok,Khu Fang Nuea
28,103800028,กรุงเทพมหานคร,เขตหนองจอก,แขวงลำผักชี,10530,Bangkok, Nong Chok,Lam Phak Chi
29,103800029,กรุงเทพมหานคร,เขตหนองจอก,แขวงลำต้อยติ่ง,10530,Bangkok, Nong Chok,Lam Toiting
31,103800031,กรุงเทพมหานคร,เขตบางรัก,แขวงมหาพฤฒาราม,10500,Bangkok,Bang Rak,Maha Phruettharam
32,103800032,กรุงเทพมหานคร,เขตบางรัก,แขวงสีลม,10500,Bangkok,Bang Rak,Si Lom
33,103800033,กรุงเทพมหานคร,เขตบางรัก,แขวงสุริยวงศ์,10500,Bangkok,Bang Rak,Suriyawong
34,103800034,กรุงเทพมหานคร,เขตบางรัก,แขวงบางรัก,10500,Bangkok,Bang Rak,Bang Rak
35,103800035,กรุงเทพมหานคร,เขตบางรัก,แขวงสี่พระยา,10500,Bangkok,Bang Rak,Si Phraya
37,103800037,กรุงเทพมหานคร,เขตบางเขน,แขวงอนุสาวรีย์,10220,Bangkok,Bang Khen,Anusawari
38,103800038,กรุงเทพมหานคร,เขตบางเขน,แขวงท่าแร้ง,10220,Bangkok,Bang Khen,Tha Raeng
40,103800040,กรุงเทพมหานคร,เขตบางกะปิ,แขวงคลองจั่น,10240,Bangkok,Bang Kapi,Khlong Chan
41,103800041,กรุงเทพมหานคร,เขตบางกะปิ,แขวงหัวหมาก,10240,Bangkok,Bang Kapi,Hua Mak
43,103800043,กรุงเทพมหานคร,เขตปทุมวัน,แขวงรองเมือง,10330,Bangkok,Pathum Wan,Rong Mueang
44,103800044,กรุงเทพมหานคร,เขตปทุมวัน,แขวงวังใหม่,10330,Bangkok,Pathum Wan,Wang Mai
45,103800045,กรุงเทพมหานคร,เขตปทุมวัน,แขวงปทุมวัน,10330,Bangkok,Pathum Wan,Pathum Wan
46,103800046,กรุงเทพมหานคร,เขตปทุมวัน,แขวงลุมพินี,10330,Bangkok,Pathum Wan,Lumphini
48,103800048,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงป้อมปราบ,10100,Bangkok,Pom Prap Sattru Phai,Pom Prap
49,103800049,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงวัดเทพศิรินทร์,10100,Bangkok,Pom Prap Sattru Phai,Wat Thep Sirin
50,103800050,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงคลองมหานาค,10100,Bangkok,Pom Prap Sattru Phai,Khlong Maha Nak
51,103800051,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงบ้านบาตร,10100,Bangkok,Pom Prap Sattru Phai,Ban Bat
52,103800052,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงวัดโสมนัส,10100,Bangkok,Pom Prap Sattru Phai,Wat Sommanat
54,103800054,กรุงเทพมหานคร,เขตพระโขนง,แขวงบางจาก,10260,Bangkok,Phra Khanong,Bang Chak
56,103800056,กรุงเทพมหานคร,เขตมีนบุรี,แขวงมีนบุรี,10510,Bangkok,Min Buri,Min Buri
57,103800057,กรุงเทพมหานคร,เขตมีนบุรี,แขวงแสนแสบ,10510,Bangkok,Min Buri,Saen Saep
59,103800059,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลาดกระบัง,10520,Bangkok,Lat Krabang,Lat Krabang
60,103800060,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,10520,Bangkok,Lat Krabang,Khlong Song Ton Nun
61,103800061,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงคลองสามประเวศ,10520,Bangkok,Lat Krabang,Khlong Sam Prawet
62,103800062,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลำปลาทิว,10520,Bangkok,Lat Krabang,Lam Pla Thio
63,103800063,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงทับยาว,10520,Bangkok,Lat Krabang,Thap Yao
64,103800064,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงขุมทอง,10520,Bangkok,Lat Krabang,Khum Thong
66,103800066,กรุงเทพมหานคร,เขตยานนาวา,แขวงช่องนนทรี,10120,Bangkok,Yan Nawa,Chong Nonsi
67,103800067,กรุงเทพมหานคร,เขตยานนาวา,แขวงบางโพงพาง,10120,Bangkok,Yan Nawa,Bang Phongphang
69,103800069,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงจักรวรรดิ,10100,Bangkok,Samphanthawong,Chakkrawat
70,103800070,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงสัมพันธวงศ์,10100,Bangkok,Samphanthawong,Samphanthawong
71,103800071,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงตลาดน้อย,10100,Bangkok,Samphanthawong,Talat Noi
73,103800073,กรุงเทพมหานคร,เขตพญาไท,แขวงสามเสนใน,10400,Bangkok,Phaya Thai,Samsen Nai
75,103800075,กรุงเทพมหานคร,เขตธนบุรี,แขวงวัดกัลยาณ์,10600,Bangkok,Thon Buri,Wat Kanlaya
76,103800076,กรุงเทพมหานคร,เขตธนบุรี,แขวงหิรัญรูจี,10600,Bangkok,Thon Buri,Hiran Ruchi
77,103800077,กรุงเทพมหานคร,เขตธนบุรี,แขวงบางยี่เรือ,10600,Bangkok,Thon Buri,Bang Yi Ruea
78,103800078,กรุงเทพมหานคร,เขตธนบุรี,แขวงบุคคโล,10600,Bangkok,Thon Buri,Bukkhalo
79,103800079,กรุงเทพมหานคร,เขตธนบุรี,แขวงตลาดพลู,10600,Bangkok,Thon Buri,Talat Phlu
80,103800080,กรุงเทพมหานคร,เขตธนบุรี,แขวงดาวคะนอง,10600,Bangkok,Thon Buri,Dao Khanong
81,103800081,กรุงเทพมหานคร,เขตธนบุรี,แขวงสำเหร่,10600,Bangkok,Thon Buri,Samre
83,103800083,กรุงเทพมหานคร,เขตบางกอกใหญ่,แขวงวัดอรุณ,10600,Bangkok,Bangkok Yai,Wat Arun
84,103800084,กรุงเทพมหานคร,เขตบางกอกใหญ่,แขวงวัดท่าพระ,10600,Bangkok,Bangkok Yai,Wat Tha Phra
86,103800086,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงห้วยขวาง,10310,Bangkok,Huai Khwang,Huai Khwang
87,103800087,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงบางกะปิ,10310,Bangkok,Huai Khwang,Bang Kapi
88,103800088,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงสามเสนนอก,10310,Bangkok,Huai Khwang,Samsen Nok
90,103800090,กรุงเทพมหานคร,เขตคลองสาน,แขวงสมเด็จเจ้าพระยา,10600,Bangkok,Khlong San,Somdet Chao Phraya
91,103800091,กรุงเทพมหานคร,เขตคลองสาน,แขวงคลองสาน,10600,Bangkok,Khlong San,Khlong San
92,103800092,กรุงเทพมหานคร,เขตคลองสาน,แขวงบางลำภูล่าง,10600,Bangkok,Khlong San,Bang Lamphu Lang
93,103800093,กรุงเทพมหานคร,เขตคลองสาน,แขวงคลองต้นไทร,10600,Bangkok,Khlong San,Khlong Ton Sai
95,103800095,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงคลองชักพระ,10170,Bangkok,Taling Chan,Khlong Chak Phra
96,103800096,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงตลิ่งชัน,10170,Bangkok,Taling Chan,Taling Chan
97,103800097,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงฉิมพลี,10170,Bangkok,Taling Chan,Chimphli
98,103800098,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางพรม,10170,Bangkok,Taling Chan,Bang Phrom
99,103800099,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางระมาด,10170,Bangkok,Taling Chan,Bang Ramat
100,103800100,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางเชือกหนัง,10170,Bangkok,Taling Chan,Bang Chueak Nang
102,103800102,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงศิริราช,10700,Bangkok,Bangkok Noi,Siri Rat
103,103800103,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,10700,Bangkok,Bangkok Noi,Ban Chang Lo
104,103800104,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบางขุนนนท์,10700,Bangkok,Bangkok Noi,Bang Khun Non
105,103800105,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบางขุนศรี,10700,Bangkok,Bangkok Noi,Bang Khun Si
106,103800106,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงอรุณอมรินทร์,10700,Bangkok,Bangkok Noi,Arun Ammarin
108,103800108,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงท่าข้าม,10150,Bangkok,Bang Khun Thian,Tha Kham
109,103800109,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,10150,Bangkok,Bang Khun Thian,Samae Dam
111,103800111,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางหว้า,10160,Bangkok,Phasi Charoen,Bang Wa
